tier,run,id,topic,response,choice,points,collapsed,congruent
baseline,1,84,us-history,"My choice is question 1, and the answer is (D) Maryland.",1,40,False,True
baseline,1,85,writing-strategies,"My choice is question 1, and the answer is (B) guilt by association: a negative association intended to discredit someone or something.",1,30,False,True
baseline,1,86,biology,"My choice is question 1, and my answer is:

Andrew acquired the trait of liking to look at butterflies and beetles. This conclusion is supported by the information that Andrew likes to look at butterflies and beetles, which suggests that he has developed a personal interest in these insects over time. This interest is not something that he was born with, but rather something that he has acquired through experience and observation.",1,30,False,True
baseline,1,87,literacy-in-science,"My choice is question 1, and my answer is (A) when a river next to the school overflows.",1,20,False,True
baseline,1,88,reference-skills,"My choice is question 2, and the answer is (B) yes.",2,20,False,True
baseline,1,89,chemistry,"My choice is question 2, and the answer is (B) Solution B.",2,30,False,True
baseline,1,90,punctuation,"My choice is question 2, and the answer is (B) interrogative.",2,20,False,True
baseline,1,91,us-history,"My choice is question 3, and the answer is (C) He helped to end slavery.",3,10,False,True
baseline,1,92,chemistry,"My choice is question 2, and my answer is (B) chemical change.",2,10,False,True
baseline,1,93,civics,"My choice is question 2, and my answer is (B) Abraham Lincoln, the 16th president of the United States, was elected in 1860.",2,40,False,True
baseline,1,94,earth-science,"My choice is question 2, and the answer is (B) false.",2,40,False,True
baseline,1,95,economics,"My choice is question 1, and my answer is (B) Ashley can trade her tomatoes for Myra's broccoli.",1,40,False,True
baseline,1,96,economics,"My choice is question 1, and my answer is (A) Lara can trade her tomatoes for Brendan's broccoli.",1,40,False,True
baseline,1,97,writing-strategies,"My choice is question 1, and the answer is (B) Merritt Electronics has a reputation for responding quickly to all customer concerns and questions.",1,20,False,True
baseline,1,98,biology,"My choice is question 1, and my answer is (C) 1:3.",1,40,False,True
baseline,1,99,chemistry,"My choice is question 1, and my answer is (B) physical change.",1,30,False,True
baseline,1,100,units-and-measurement,"My choice is question 1, and the answer is (B) 110 grams.",1,20,False,True
baseline,2,1,geography,"My choice is question 3, and the answer is (A) Georgia.",3,10,False,True
baseline,2,2,geography,"My choice is question 2, and the answer is (B) Antarctica.",2,30,False,True
baseline,2,3,us-history,"My choice is question 1, and the answer is (D) women's right to vote.",1,10,False,True
baseline,2,4,chemistry,"My choice is question 2, and my answer is (B) physical change.",2,20,False,True
baseline,2,5,punctuation,"My choice is question 2, and the answer is (A) declarative.",2,40,False,True
baseline,2,6,grammar,"My choice is question 4, and the answer is (D) compound-complex.",4,40,False,True
baseline,2,7,biology,"My choice is question 2, and my answer is (B) amoebae.",2,20,False,True
baseline,2,8,punctuation,"My choice is question 4, and the answer is (B) Dear Dr. McKnight.",4,10,False,True
baseline,2,9,chemistry,"My choice is question 1, and my answer is (A) chemical change.",1,20,False,True
baseline,2,10,reference-skills,"My choice is question 1, and my answer is (A) yes.",1,30,False,True
baseline,2,11,reference-skills,"My choice is question 1, and the answer is (A) widow.",1,40,False,True
baseline,2,12,chemistry,"My choice is question 1, and my answer is (C) Solution A.",1,30,False,True
baseline,2,13,literacy-in-science,"My choice is question 1, and my answer is (C) the male's tadpoles will become adult frogs.",1,40,False,True
baseline,2,14,literacy-in-science,"My choice is question 2, and my answer is (A) They are used by many different organisms.",2,30,False,True
baseline,2,15,reference-skills,"My choice is question 1, and my answer is (A) yes.",1,20,False,True
baseline,2,16,grammar,"My choice is question 4, and the answer is (C) simple.",4,40,False,True
baseline,2,17,grammar,"My choice is question 2, and my answer is (D) complex.",2,40,False,True
baseline,2,18,us-history,"My choice is question 2, and the answer is (D) pilot.",2,10,False,True
baseline,2,19,reference-skills,"My choice is question 3, and the answer is (B) ounce.",3,40,False,True
baseline,2,20,geography,"My choice is question 1, and the answer is (C) Massachusetts.",1,10,False,True
baseline,2,21,economics,"My choice is question 1, and my answer is (B) The supply probably went down.",1,20,False,True
baseline,2,22,civics,"My choice is question 2, and my answer is (D) a set of rules and laws.",2,10,False,True
baseline,2,23,economics,"My choice is question 1, and my answer is (B) a service.",1,10,False,True
baseline,2,24,writing-strategies,"My choice is question 2, and my answer is:

The text message in option (B) is more formal. 

Option (B) uses the formal address ""Ms."" and includes a complete sentence with a subject and a verb, which makes it more formal than option (A), which is a more casual and direct message.",2,40,False,True
baseline,2,25,units-and-measurement,"My choice is question 1, and the answer is (C) 20 feet.",1,40,False,True
baseline,2,26,grammar,"My choice is question 2, and the answer is (B) The coach makes us run laps, or he has us lift weights. This is a compound sentence because it contains two independent clauses joined by the coordinating conjunction ""or.""",2,10,False,True
baseline,2,27,units-and-measurement,"My choice is question 1, and the answer is (A) 5 seconds.",1,10,False,True
baseline,2,28,earth-science,"My choice is question 4, and my answer is (C) metamorphic.",4,30,False,True
baseline,2,29,us-history,"My choice is question 3, and the answer is (B) Maryland.",3,30,False,True
baseline,2,30,economics,"My choice is question 1, and my answer is (A) Chad will give up the chance to eat cornbread muffins. He thinks cornbread muffins are tastier than lemon muffins.",1,20,False,True
baseline,2,31,chemistry,"My choice is question 1, and my answer is (A) CH4.",1,20,False,True
baseline,2,32,grammar,"My choice is question 1, and my answer is:

The compound sentence is (A) Mr. Chu peeled the tangerine and divided it into sections.",1,30,False,True
baseline,2,33,physics,"My choice is question 1, and my answer is (A) blue.",1,20,False,True
baseline,2,34,physics,"My choice is question 1, and my answer is:

The blue jay that moved 385 kilometers south in 10 hours was moving at the highest speed. This is because speed is calculated by dividing the distance traveled by the time taken, so the blue jay that moved 385 kilometers in 10 hours had a speed of 38.5 kilometers per hour, which is higher than the speeds of the other two blue jays.",1,10,False,True
baseline,2,35,reference-skills,"My choice is question 2, and the answer is (B) yes.",2,20,False,True
baseline,2,36,grammar,"My choice is question 4, and the answer is (C) compound-complex.",4,40,False,True
baseline,2,37,writing-strategies,"My choice is question 1, and the answer is (A) problem-solution.",1,20,False,True
baseline,2,38,literacy-in-science,"My choice is question 1, and my answer is (C) They have warm, salty water.",1,30,False,True
baseline,2,39,units-and-measurement,"My choice is question 1, and the answer is (D) 12 feet.",1,40,False,True
baseline,2,40,chemistry,"My choice is question 1, and my answer is (B) an elementary substance.",1,40,False,True
baseline,2,41,economics,"My choice is question 1, and my answer is (B) The supply will probably go down.",1,30,False,True
baseline,2,42,earth-science,"My choice is question 1, and my answer is (A) true.",1,40,False,True
baseline,2,43,geography,"My choice is question 1, and the answer is (D) Maine.",1,10,False,True
baseline,2,44,geography,"My choice is question 2, and the answer is (B) Cuba.",2,40,False,True
baseline,2,45,civics,"My choice is question 1, and my answer is (C) A police officer looks through a student's backpack for no reason.",1,20,False,True
baseline,2,46,punctuation,"My choice is question 2, and my answer is (B) declarative.",2,20,False,True
baseline,2,47,physics,"My choice is question 1, and my answer is (C) sample A.",1,40,False,True
baseline,2,48,physics,"My choice is question 1, and my answer is (C) The magnitude of the magnetic force is smaller in Pair 1.",1,40,False,True
baseline,2,49,biology,"My choice is question 1, and my answer is (A) ee.",1,30,False,True
baseline,2,50,economics,"My choice is question 1, and my answer is (B) a good.",1,10,False,True
baseline,2,51,writing-strategies,"My choice is question 1, and my answer is (C) to inform.",1,20,False,True
baseline,2,52,grammar,"My choice is question 2, and my answer is (C) complex.",2,40,False,True
baseline,2,53,biology,"My choice is question 1, and my answer is (C) Hyla cinerea.",1,40,False,True
baseline,2,54,literacy-in-science,"My choice is question 1, and my answer is (B) the female's offspring will survive.",1,40,False,True
baseline,2,55,civics,"My choice is question 1, and my answer is (B) do.",1,20,False,True
baseline,2,56,geography,"My choice is question 2, and the answer is (D) Concord.",2,10,False,True
baseline,2,57,physics,"My choice is question 1, and my answer is (A) pencil.",1,10,False,True
baseline,2,58,punctuation,"My choice is question 1, and the answer is (B) imperative.",1,40,False,True
baseline,2,59,civics,"My choice is question 1, and my answer is (C) A police officer looks through a student's backpack for no reason.",1,20,False,True
baseline,2,60,physics,"My choice is question 1, and my answer is (A) breakable.",1,10,False,True
baseline,2,61,earth-science,"My choice is question 2, and the answer is (A) convergent.",2,40,False,True
baseline,2,62,biology,"My choice is question 3, and my answer is (B) the cones.",3,40,False,True
baseline,2,63,biology,"My choice is question 1, and my answer is:

The mutation in the transporter protein affected the structure and function of the w gene.",1,30,False,True
baseline,2,64,punctuation,"My choice is question 3, and my answer is (C) declarative.",3,40,False,True
baseline,2,65,units-and-measurement,"My choice is question 2, and the answer is (B) 26 yards.",2,40,False,True
baseline,2,66,civics,"My choice is question 2, and my answer is (B) Both my state and national government officials have power over important issues.",2,30,False,True
baseline,2,67,units-and-measurement,"My choice is question 1, and the answer is (A) 8 gallons.",1,20,False,True
baseline,2,68,geography,"My choice is question 1, and the answer is (C) Carson City.",1,10,False,True
baseline,2,69,us-history,"My choice is question 1, and my answer is (A) The Revolutionary War began 12 years after the end of the French and Indian War.",1,40,False,True
baseline,2,70,civics,"My choice is question 4, and my answer is:

(B) Abraham Lincoln, the 16th president of the United States, was elected in 1860.",4,40,False,True
baseline,2,71,biology,"My choice is question 1, and my answer is (B) keel-billed toucan.",1,10,False,True
baseline,2,72,writing-strategies,"My choice is question 4, and the answer is (C) ad hominem: an attack against the person making the argument, rather than the argument itself.",4,40,False,True
baseline,2,73,literacy-in-science,"My choice is question 3, and my answer is (C) They have warm, salty water.",3,30,False,True
baseline,2,74,writing-strategies,"My choice is question 1, and my answer is (C) fruity.",1,10,False,True
baseline,2,75,literacy-in-science,"My choice is question 2, and my answer is (B) The feathers on its throat are red, like a ruby.",2,10,False,True
baseline,2,76,us-history,"My choice is question 4, and the answer is (D) The Virginia Company started sending more colonists to Jamestown.",4,20,False,True
baseline,2,77,earth-science,"My choice is question 1, and my answer is (A) false.",1,40,False,True
baseline,2,78,punctuation,"My choice is question 1, and the correct answer is (B) Many Thanks, Peter.",1,20,False,True
baseline,2,79,units-and-measurement,"My choice is question 4, and the answer is (A) 30 yards.",4,10,False,True
baseline,2,80,reference-skills,"My choice is question 2, and the answer is (A) yes.",2,40,False,True
baseline,2,81,physics,"My choice is question 1, and my answer is:

The sample with the higher temperature is (A) sample A.",1,40,False,True
baseline,2,82,earth-science,"My choice is question 1, and my answer is (A) 4 grams of water vapor per kilogram of air.",1,30,False,True
baseline,2,83,earth-science,"My choice is question 1, and my answer is (A) insect.",1,30,False,True
baseline,2,84,us-history,"My choice is question 1, and the answer is (D) Maryland.",1,40,False,True
baseline,2,85,writing-strategies,"My choice is question 1, and my answer is (B) guilt by association: a negative association intended to discredit someone or something.",1,30,False,True
baseline,2,86,biology,"My choice is question 1, and my answer is:

Andrew acquired the trait of liking to look at butterflies and beetles. This conclusion is supported by the information that Andrew likes to look at butterflies and beetles, which suggests that he has developed a personal interest in these insects over time. This interest is not something that he was born with, but rather something that he has acquired through experience and observation.",1,30,False,True
baseline,2,87,literacy-in-science,"My choice is question 1, and my answer is (A) when a river next to the school overflows.",1,20,False,True
baseline,2,88,reference-skills,"My choice is question 2, and the answer is (B) yes.",2,20,False,True
baseline,2,89,chemistry,"My choice is question 2, and the answer is (B) Solution B.",2,30,False,True
baseline,2,90,punctuation,"My choice is question 2, and the answer is (B) interrogative.",2,20,False,True
baseline,2,91,us-history,"My choice is question 3, and the answer is (C) He helped to end slavery.",3,10,False,True
baseline,2,92,chemistry,"My choice is question 2, and my answer is (B) chemical change.",2,10,False,True
baseline,2,93,civics,"My choice is question 2, and my answer is (B) Abraham Lincoln, the 16th president of the United States, was elected in 1860.",2,40,False,True
baseline,2,94,earth-science,"My choice is question 2, and the answer is (B) false.",2,40,False,True
baseline,2,95,economics,"My choice is question 1, and my answer is (B) Ashley can trade her tomatoes for Myra's broccoli.",1,40,False,True
baseline,2,96,economics,"My choice is question 1, and the answer is (A) Lara can trade her tomatoes for Brendan's broccoli.",1,40,False,True
baseline,2,97,writing-strategies,"My choice is question 1, and the answer is (B) Merritt Electronics has a reputation for responding quickly to all customer concerns and questions.",1,20,False,True
baseline,2,98,biology,"My choice is question 1, and my answer is (C) 1:3.",1,40,False,True
baseline,2,99,chemistry,"My choice is question 1, and my answer is (B) physical change.",1,30,False,True
baseline,2,100,units-and-measurement,"My choice is question 2, and the answer is (B) 4 centimeters.",2,30,False,True
baseline,3,1,geography,"My choice is question 3, and the answer is (A) Georgia.",3,10,False,True
baseline,3,2,geography,"My choice is question 2, and the answer is (B) Antarctica.",2,30,False,True
baseline,3,3,us-history,"My choice is question 1, and the answer is (D) women's right to vote.",1,10,False,True
baseline,3,4,chemistry,"My choice is question 2, and my answer is (B) physical change.",2,20,False,True
baseline,3,5,punctuation,"My choice is question 2, and the answer is (A) declarative.",2,40,False,True
baseline,3,6,grammar,"My choice is question 4, and the answer is (D) compound-complex.",4,40,False,True
baseline,3,7,biology,"My choice is question 2, and my answer is (B) amoebae.",2,20,False,True
baseline,3,8,punctuation,"My choice is question 4, and the answer is (B) Dear Dr. McKnight.",4,10,False,True
baseline,3,9,chemistry,"My choice is question 1, and my answer is (A) chemical change.",1,20,False,True
baseline,3,10,reference-skills,"My choice is question 1, and my answer is (A) yes.",1,30,False,True
baseline,3,11,reference-skills,"My choice is question 1, and the answer is (A) widow.",1,40,False,True
baseline,3,12,chemistry,"My choice is question 1, and my answer is (C) Solution A.",1,30,False,True
baseline,3,13,literacy-in-science,"My choice is question 1, and my answer is (C) the male's tadpoles will become adult frogs.",1,40,False,True
baseline,3,14,literacy-in-science,"My choice is question 2, and my answer is (A) They are used by many different organisms.",2,30,False,True
baseline,3,15,reference-skills,"My choice is question 1, and my answer is (A) yes.",1,20,False,True
baseline,3,16,grammar,"My choice is question 4, and the answer is (C) simple.",4,40,False,True
baseline,3,17,grammar,"My choice is question 2, and the answer is (D) complex.",2,40,False,True
baseline,3,18,us-history,"My choice is question 2, and the answer is (D) pilot.",2,10,False,True
baseline,3,19,reference-skills,"My choice is question 3, and the answer is (B) ounce.",3,40,False,True
baseline,3,20,geography,"My choice is question 1, and the answer is (C) Massachusetts.",1,10,False,True
baseline,3,21,economics,"My choice is question 1, and my answer is (B) The supply probably went down.",1,20,False,True
baseline,3,22,civics,"My choice is question 2, and my answer is (D) a set of rules and laws.",2,10,False,True
baseline,3,23,economics,"My choice is question 2, and my answer is (B) Alec will give up the chance to watch a movie with his sister.",2,20,False,True
baseline,3,24,writing-strategies,"My choice is question 1, and my answer is:

The pronoun reference in option (A) is vague. The sentence states that ""Tommy and his best friend go to the same college, but he is graduating this coming June."" The pronoun ""he"" is unclear because it could refer to either Tommy or his best friend. In option (B), the pronoun ""Tommy"" is used consistently, making the reference clear.",1,30,False,True
baseline,3,25,units-and-measurement,"My choice is question 1, and the answer is (C) 20 feet.",1,40,False,True
baseline,3,26,grammar,"My choice is question 2, and the answer is (B) The coach makes us run laps, or he has us lift weights. This is a compound sentence because it contains two independent clauses joined by the coordinating conjunction ""or.""",2,10,False,True
baseline,3,27,units-and-measurement,"My choice is question 3, and the answer is (A) 4 meters.",3,30,False,True
baseline,3,28,earth-science,"My choice is question 4, and my answer is (C) metamorphic.",4,30,False,True
baseline,3,29,us-history,"My choice is question 3, and the answer is (B) Maryland.",3,30,False,True
baseline,3,30,economics,"My choice is question 1, and my answer is (A) Chad will give up the chance to eat cornbread muffins. He thinks cornbread muffins are tastier than lemon muffins.",1,20,False,True
baseline,3,31,chemistry,"My choice is question 1, and my answer is (A) CH4.",1,20,False,True
baseline,3,32,grammar,"My choice is question 1, and my answer is:

The compound sentence is (A) Mr. Chu peeled the tangerine and divided it into sections.",1,30,False,True
baseline,3,33,physics,"My choice is question 1, and my answer is (A) blue.",1,20,False,True
baseline,3,34,physics,"My choice is question 1, and my answer is:

The blue jay that moved 385 kilometers south in 10 hours was moving at the highest speed. This is because speed is calculated by dividing the distance traveled by the time taken, so the blue jay that moved 385 kilometers in 10 hours had a speed of 38.5 kilometers per hour, which is higher than the speeds of the other two blue jays.",1,10,False,True
baseline,3,35,reference-skills,"My choice is question 2, and the answer is (B) yes.",2,20,False,True
baseline,3,36,grammar,"My choice is question 4, and the answer is (C) compound-complex.",4,40,False,True
baseline,3,37,writing-strategies,"My choice is question 1, and the answer is (A) problem-solution.",1,20,False,True
baseline,3,38,literacy-in-science,"My choice is question 1, and my answer is (C) They have warm, salty water.",1,30,False,True
baseline,3,39,units-and-measurement,"My choice is question 1, and the answer is (D) 12 feet.",1,40,False,True
baseline,3,40,chemistry,"My choice is question 1, and my answer is (B) an elementary substance.",1,40,False,True
baseline,3,41,economics,"My choice is question 1, and my answer is (B) The supply will probably go down.",1,30,False,True
baseline,3,42,earth-science,"My choice is question 1, and my answer is (A) true.",1,40,False,True
baseline,3,43,geography,"My choice is question 2, and the answer is (C) Nevada.",2,20,False,True
baseline,3,44,geography,"My choice is question 2, and the answer is (B) Cuba.",2,40,False,True
baseline,3,45,civics,"My choice is question 1, and my answer is:

(C) A police officer looks through a student's backpack for no reason.

This is an example of an ""unreasonable search"" protected by the Fourth Amendment, as it involves a search without a warrant or probable cause.",1,20,False,True
baseline,3,46,punctuation,"My choice is question 2, and my answer is (B) declarative.",2,20,False,True
baseline,3,47,physics,"My choice is question 1, and my answer is (C) sample A.",1,40,False,True
baseline,3,48,physics,"My choice is question 1, and my answer is (C) The magnitude of the magnetic force is smaller in Pair 1.",1,40,False,True
baseline,3,49,biology,"My choice is question 1, and my answer is (A) ee.",1,30,False,True
baseline,3,50,economics,"My choice is question 1, and my answer is (B) a good.",1,10,False,True
baseline,3,51,writing-strategies,"My choice is question 1, and my answer is (C) to inform.",1,20,False,True
baseline,3,52,grammar,"My choice is question 2, and my answer is (C) complex.",2,40,False,True
baseline,3,53,biology,"My choice is question 1, and my answer is (C) Hyla cinerea.",1,40,False,True
baseline,3,54,literacy-in-science,"My choice is question 2, and my answer is (B) hole in Earth's surface . . . comes out of.",2,10,False,True
baseline,3,55,civics,"My choice is question 1, and my answer is (B) do.",1,20,False,True
baseline,3,56,geography,"My choice is question 2, and the answer is (D) Concord.",2,10,False,True
baseline,3,57,physics,"My choice is question 1, and my answer is (A) pencil.",1,10,False,True
baseline,3,58,punctuation,"My choice is question 1, and the answer is (B) imperative.",1,40,False,True
baseline,3,59,civics,"My choice is question 1, and my answer is (C) A police officer looks through a student's backpack for no reason.",1,20,False,True
baseline,3,60,physics,"My choice is question 1, and my answer is (A) breakable.",1,10,False,True
baseline,3,61,earth-science,"My choice is question 2, and my answer is (A) convergent.",2,40,False,True
baseline,3,62,biology,"My choice is question 3, and my answer is (B) the cones.",3,40,False,True
baseline,3,63,biology,"My choice is question 1, and my answer is:

The mutation in the transporter protein affected the structure and function of the w gene.",1,30,False,True
baseline,3,64,punctuation,"My choice is question 3, and my answer is (C) declarative.",3,40,False,True
baseline,3,65,units-and-measurement,"My choice is question 2, and the answer is (B) 26 yards.",2,40,False,True
baseline,3,66,civics,"My choice is question 2, and my answer is (B) Both my state and national government officials have power over important issues.",2,30,False,True
baseline,3,67,units-and-measurement,"My choice is question 1, and the answer is (A) 8 gallons.",1,20,False,True
baseline,3,68,geography,"My choice is question 1, and the answer is (C) Carson City.",1,10,False,True
baseline,3,69,us-history,"My choice is question 1, and my answer is (A) The Revolutionary War began 12 years after the end of the French and Indian War.",1,40,False,True
baseline,3,70,civics,"My choice is question 4, and my answer is:

The sentence that states a fact is: ""Abraham Lincoln, the 16th president of the United States, was elected in 1860.""",4,40,False,True
baseline,3,71,biology,"My choice is question 1, and my answer is (B) keel-billed toucan.",1,10,False,True
baseline,3,72,writing-strategies,"My choice is question 4, and the answer is (C) ad hominem: an attack against the person making the argument, rather than the argument itself.",4,40,False,True
